"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Australia","Industrial Waste - Production","2016","Terajoules","4841",""
"Australia","Industrial Waste - Production","2015","Terajoules","4035",""
"Australia","Industrial Waste - Production","2014","Terajoules","4298",""
"Australia","Industrial Waste - Production","2013","Terajoules","4022",""
"Australia","Industrial Waste - Production","2012","Terajoules","4029",""
"Australia","Industrial Waste - Production","2011","Terajoules","4193",""
"Australia","Industrial Waste - Production","2010","Terajoules","4099",""
"Australia","Industrial Waste - Production","2009","Terajoules","3778",""
"Australia","Industrial Waste - Production","2008","Terajoules","4332",""
"Australia","Industrial Waste - Production","2007","Terajoules","4236",""
"Australia","Industrial Waste - Production","2006","Terajoules","4345",""
"Australia","Industrial Waste - Production","2005","Terajoules","4273",""
"Australia","Industrial Waste - Production","2004","Terajoules","6464",""
"Australia","Industrial Waste - Production","2003","Terajoules","6200",""
"Australia","Industrial Waste - Production","2002","Terajoules","6179",""
"Australia","Industrial Waste - Production","2001","Terajoules","5881",""
"Australia","Industrial Waste - Production","2000","Terajoules","7490",""
"Australia","Industrial Waste - Production","1999","Terajoules","7490",""
"Australia","Industrial Waste - Production","1998","Terajoules","7414",""
"Australia","Industrial Waste - Production","1997","Terajoules","7204",""
"Australia","Industrial Waste - Production","1996","Terajoules","6888",""
"Australia","Industrial Waste - Production","1995","Terajoules","7823",""
"Australia","Industrial Waste - Production","1994","Terajoules","7295",""
"Australia","Industrial Waste - Production","1993","Terajoules","8134",""
"Australia","Industrial Waste - Production","1992","Terajoules","7570",""
"Australia","Industrial Waste - Production","1991","Terajoules","7669",""
"Australia","Industrial Waste - Production","1990","Terajoules","7767",""
"Austria","Industrial Waste - Production","2016","Terajoules","23637",""
"Austria","Industrial Waste - Production","2015","Terajoules","18655",""
"Austria","Industrial Waste - Production","2014","Terajoules","17651",""
"Austria","Industrial Waste - Production","2013","Terajoules","17915",""
"Austria","Industrial Waste - Production","2012","Terajoules","19728",""
"Austria","Industrial Waste - Production","2011","Terajoules","22405",""
"Austria","Industrial Waste - Production","2010","Terajoules","20872",""
"Austria","Industrial Waste - Production","2009","Terajoules","21431",""
"Austria","Industrial Waste - Production","2008","Terajoules","19992",""
"Austria","Industrial Waste - Production","2007","Terajoules","14958",""
"Austria","Industrial Waste - Production","2006","Terajoules","13998",""
"Austria","Industrial Waste - Production","2005","Terajoules","11847",""
"Austria","Industrial Waste - Production","2004","Terajoules","16174",""
"Austria","Industrial Waste - Production","2003","Terajoules","13523",""
"Austria","Industrial Waste - Production","2002","Terajoules","11744",""
"Austria","Industrial Waste - Production","2001","Terajoules","9842",""
"Austria","Industrial Waste - Production","2000","Terajoules","7630",""
"Austria","Industrial Waste - Production","1999","Terajoules","6853",""
"Austria","Industrial Waste - Production","1998","Terajoules","7503",""
"Austria","Industrial Waste - Production","1997","Terajoules","8228",""
"Austria","Industrial Waste - Production","1996","Terajoules","9246",""
"Austria","Industrial Waste - Production","1995","Terajoules","7005",""
"Austria","Industrial Waste - Production","1994","Terajoules","6704",""
"Austria","Industrial Waste - Production","1993","Terajoules","6016",""
"Austria","Industrial Waste - Production","1992","Terajoules","8524",""
"Austria","Industrial Waste - Production","1991","Terajoules","7180",""
"Austria","Industrial Waste - Production","1990","Terajoules","6576",""
"Belarus","Industrial Waste - Production","2015","Terajoules","1157",""
"Belarus","Industrial Waste - Production","2014","Terajoules","1156",""
