"Country or Area","Year","Value","Value Footnotes"
"Afghanistan","2011","0.420932655980935",""
"Afghanistan","2010","0.298289530193382",""
"Afghanistan","2009","0.244570891628528",""
"Afghanistan","2008","0.156001008723042",""
"Afghanistan","2007","0.0865631699552052",""
"Afghanistan","2006","0.0646664493800973",""
"Afghanistan","2005","0.0538378507094788",""
"Afghanistan","2004","0.0398476069586166",""
"Afghanistan","2003","0.0448933476875164",""
"Afghanistan","2002","0.0402988703319752",""
"Afghanistan","2001","0.0302322742475073",""
"Afghanistan","2000","0.0379246102034633",""
"Afghanistan","1999","0.0416473729442398",""
"Afghanistan","1998","0.0541675582643255",""
"Afghanistan","1997","0.0586065272553935",""
"Afghanistan","1996","0.0651147982490871",""
"Afghanistan","1995","0.0721469767582564",""
"Afghanistan","1994","0.0800799853539741",""
"Afghanistan","1993","0.0906158517198149",""
"Afghanistan","1992","0.103278005102276",""
"Afghanistan","1991","0.197712614839642",""
"Afghanistan","1990","0.228187363382394",""
"Albania","2011","1.48010912262757",""
"Albania","2010","1.40154526318329",""
"Albania","2009","1.42435559956017",""
"Albania","2008","1.47534632111431",""
"Albania","2007","1.41411657173755",""
"Albania","2006","1.21557768920544",""
"Albania","2005","1.33089705362423",""
"Albania","2004","1.29522911687313",""
"Albania","2003","1.32557784888181",""
"Albania","2002","1.14945017704397",""
"Albania","2001","0.980891845734924",""
"Albania","2000","0.914267940070464",""
"Albania","1999","0.899635647529597",""
"Albania","1998","0.527093427187128",""
"Albania","1997","0.463422424224413",""
"Albania","1996","0.603658797567107",""
"Albania","1995","0.621385121109945",""
"Albania","1994","0.56992696123086",""
"Albania","1993","0.685695348347223",""
"Albania","1992","0.692577704100372",""
"Albania","1991","1.14787082236558",""
"Albania","1990","2.1724021884126",""
"Algeria","2011","3.22420156024837",""
"Algeria","2010","3.21822540756478",""
"Algeria","2009","3.33598179186705",""
"Algeria","2008","3.12315273817824",""
"Algeria","2007","3.11407815752455",""
"Algeria","2006","2.92459156511447",""
"Algeria","2005","3.15444315482424",""
"Algeria","2004","2.67452294580508",""
"Algeria","2003","2.8037402280647",""
"Algeria","2002","2.78923206804217",""
"Algeria","2001","2.62186033815406",""
"Algeria","2000","2.77214755527437",""
"Algeria","1999","2.94532031367526",""
"Algeria","1998","3.47432043058445",""
"Algeria","1997","2.90636555062295",""
"Algeria","1996","3.25450893155109",""
"Algeria","1995","3.25240188087768",""
"Algeria","1994","3.00843801057075",""
"Algeria","1993","2.92265430669419",""
"Algeria","1992","2.97566728433775",""
"Algeria","1991","3.02005654640649",""
"Algeria","1990","3.00783991193804",""
"Andorra","2011","",""
"Andorra","2010","",""
"Andorra","2009","",""
"Andorra","2008","",""
"Andorra","2007","",""
"Andorra","2006","",""
"Andorra","2005","",""
"Andorra","2004","",""
"Andorra","2003","",""
"Andorra","2002","",""
"Andorra","2001","",""
"Andorra","2000","",""
"Andorra","1999","",""
"Andorra","1998","",""
"Andorra","1997","",""
"Andorra","1996","",""
"Andorra","1995","",""
"Angola","2011","1.47221568951002",""
"Angola","2010","1.52145114021477",""
"Angola","2009","1.5513399888517",""
"Angola","2008","1.48366362915472",""
"Angola","2007","1.41998548622173",""
"Angola","2006","1.30040253097564",""
"Angola","2005","1.15788035765145",""
"Angola","2004","1.17629781841887",""
"Angola","2003","0.587820498895181",""
"Angola","2002","0.850821552359864",""
"Angola","2001","0.676539905401931",""
"Angola","2000","0.6852123493619",""
"Angola","1999","0.677726241349765",""
"Angola","1998","0.556293635445657",""
"Angola","1997","0.577081314396843",""
"Angola","1996","0.842542028574652",""
"Angola","1995","0.90971042264356",""
"Angola","1994","0.331307491711111",""
"Angola","1993","0.51012261878926",""
"Angola","1992","0.401602489121364",""
"Angola","1991","0.409979247567313",""
"Angola","1990","0.428662944786084",""
"Anguilla","2011","",""
"Anguilla","2010","",""
"Anguilla","2009","",""
"Anguilla","2008","",""
