"Reference Area","Time Period","Sex","Age group","Unit of measurement","Nature","Value"
"World (SDG-MDG)","2016","Female","15 - 24","Percent","Modeled","13.26"
"World (SDG-MDG)","2016","Female","15+","Percent","Modeled","6.15"
"World (SDG-MDG)","2016","Female","25+","Percent","Modeled","4.83"
"World (SDG-MDG)","2016","Male","15 - 24","Percent","Modeled","12.53"
"World (SDG-MDG)","2016","Male","15+","Percent","Modeled","5.45"
"World (SDG-MDG)","2016","Male","25+","Percent","Modeled","4.13"
"World (SDG-MDG)","2016","Total","15 - 24","Percent","Modeled","12.82"
"World (SDG-MDG)","2016","Total","15+","Percent","Modeled","5.73"
"World (SDG-MDG)","2016","Total","25+","Percent","Modeled","4.4"
"World (SDG-MDG)","2015","Female","15 - 24","Percent","Modeled","12.95"
"World (SDG-MDG)","2015","Female","15+","Percent","Modeled","6.08"
"World (SDG-MDG)","2015","Female","25+","Percent","Modeled","4.78"
"World (SDG-MDG)","2015","Male","15 - 24","Percent","Modeled","12.55"
"World (SDG-MDG)","2015","Male","15+","Percent","Modeled","5.46"
"World (SDG-MDG)","2015","Male","25+","Percent","Modeled","4.1"
"World (SDG-MDG)","2015","Total","15 - 24","Percent","Modeled","12.71"
"World (SDG-MDG)","2015","Total","15+","Percent","Modeled","5.7"
"World (SDG-MDG)","2015","Total","25+","Percent","Modeled","4.37"
"World (SDG-MDG)","2014","Female","15 - 24","Percent","Modeled","12.95"
"World (SDG-MDG)","2014","Female","15+","Percent","Modeled","6.13"
"World (SDG-MDG)","2014","Female","25+","Percent","Modeled","4.8"
"World (SDG-MDG)","2014","Male","15 - 24","Percent","Modeled","12.66"
"World (SDG-MDG)","2014","Male","15+","Percent","Modeled","5.52"
"World (SDG-MDG)","2014","Male","25+","Percent","Modeled","4.13"
"World (SDG-MDG)","2014","Total","15 - 24","Percent","Modeled","12.77"
"World (SDG-MDG)","2014","Total","15+","Percent","Modeled","5.76"
"World (SDG-MDG)","2014","Total","25+","Percent","Modeled","4.39"
"World (SDG-MDG)","2013","Female","15 - 24","Percent","Modeled","13.72"
"World (SDG-MDG)","2013","Female","15+","Percent","Modeled","6.37"
"World (SDG-MDG)","2013","Female","25+","Percent","Modeled","4.89"
"World (SDG-MDG)","2013","Male","15 - 24","Percent","Modeled","12.82"
"World (SDG-MDG)","2013","Male","15+","Percent","Modeled","5.64"
"World (SDG-MDG)","2013","Male","25+","Percent","Modeled","4.19"
"World (SDG-MDG)","2013","Total","15 - 24","Percent","Modeled","13.18"
"World (SDG-MDG)","2013","Total","15+","Percent","Modeled","5.93"
"World (SDG-MDG)","2013","Total","25+","Percent","Modeled","4.47"
"World (SDG-MDG)","2012","Female","15 - 24","Percent","Modeled","13.64"
"World (SDG-MDG)","2012","Female","15+","Percent","Modeled","6.42"
"World (SDG-MDG)","2012","Female","25+","Percent","Modeled","4.91"
"World (SDG-MDG)","2012","Male","15 - 24","Percent","Modeled","12.69"
"World (SDG-MDG)","2012","Male","15+","Percent","Modeled","5.65"
"World (SDG-MDG)","2012","Male","25+","Percent","Modeled","4.19"
"World (SDG-MDG)","2012","Total","15 - 24","Percent","Modeled","13.07"
"World (SDG-MDG)","2012","Total","15+","Percent","Modeled","5.95"
"World (SDG-MDG)","2012","Total","25+","Percent","Modeled","4.48"
"World (SDG-MDG)","2011","Female","15 - 24","Percent","Modeled","13.69"
"World (SDG-MDG)","2011","Female","15+","Percent","Modeled","6.51"
