1,Norway,0.996,1,0.940,0.944,83.6,79.5,18.2,16.8,12.7,12.5,57140,72825,VH
2,Australia,0.976,1,0.922,0.945,84.5,80.3,20.7,19.7,13.1,12.9,33688,50914,VH
3,Switzerland,0.950,2,0.898,0.945,85.0,80.8,15.7,15.9,11.5,13.1,44132,69077,VH
4,Denmark,0.977,1,0.912,0.934,82.2,78.3,19.3,18.1,12.8,12.7,36439,51727,VH
5,Netherlands,0.947,3,0.893,0.943,83.3,79.7,18.0,17.9,11.6,12.2,29500,61641,VH
6,Germany,0.963,2,0.901,0.936,83.3,78.5,16.3,16.6,12.9,13.8,34886,53290,VH
6,Ireland,0.973,2,0.901,0.926,83.0,78.8,18.5,18.7,12.3,12.0,30104,49166,VH
8,United States,0.995,1,0.911,0.916,81.4,76.7,17.2,15.7,13.0,12.9,43054,63158,VH
9,Canada,0.982,1,0.904,0.921,84.0,80.0,16.3,15.5,13.1,13.0,33587,50853,VH
9,New Zealand,0.961,2,0.894,0.930,83.6,80.0,20.0,18.3,12.5,12.6,24309,41372,VH
11,Singapore,0.985,1,0.898,0.912,86.0,79.9,15.5,15.3,10.1,10.9,59994,93699,VH
12,"Hong Kong, China (SAR)",0.958,2,0.892,0.931,86.8,81.2,15.7,15.5,10.9,11.9,38060,72052,VH
13,Liechtenstein,-1,-1,-1,-1,-1,-1,13.8,16.1,-1,-1,-1,-1,VH
14,Sweden,0.999,1,0.906,0.906,83.9,80.4,16.6,15.1,12.2,12.0,40222,51084,VH
14,United Kingdom,0.965,2,0.888,0.920,82.6,78.7,16.6,15.8,12.9,13.2,27259,51628,VH
16,Iceland,0.975,1,0.886,0.909,84.0,81.0,20.1,17.9,10.8,10.4,28792,41486,VH
17,Korea (Republic of),0.930,3,0.861,0.926,85.0,78.5,16.0,17.7,11.2,12.7,21896,46018,VH
18,Israel,0.971,2,0.879,0.905,84.1,80.5,16.5,15.5,12.5,12.6,22451,39064,VH
19,Luxembourg,0.971,2,0.877,0.903,83.9,79.3,14.0,13.7,11.3,12.1,47723,69800,VH
20,Japan,0.961,2,0.870,0.905,86.7,80.2,15.2,15.5,11.3,11.7,24975,49541,VH
21,Belgium,0.975,1,0.872,0.895,83.2,78.3,16.7,16.0,10.6,11.1,31879,50845,VH
22,France,0.987,1,0.881,0.893,85.1,79.2,16.4,15.6,11.0,11.3,31073,45497,VH
23,Austria,0.943,3,0.856,0.909,83.8,78.8,16.1,15.4,9.9,11.9,29598,58826,VH
24,Finland,0.996,1,0.879,0.882,83.6,78.0,17.7,16.5,10.2,10.2,31644,45994,VH
25,Slovenia,0.996,1,0.877,0.881,83.4,77.3,17.7,16.0,11.8,12.0,22180,33593,VH
26,Spain,0.975,1,0.863,0.885,85.3,79.8,17.7,17.0,9.4,9.8,24059,40221,VH
27,Italy,0.964,2,0.851,0.883,85.5,80.6,16.5,15.6,9.5,10.2,22526,44148,VH
28,Czech Republic,0.980,1,0.859,0.877,81.5,75.7,16.9,15.8,12.1,12.5,19929,33604,VH
29,Greece,0.961,2,0.844,0.879,83.8,78.0,17.7,17.6,9.8,10.5,17288,31952,VH
30,Estonia,1.030,2,0.872,0.847,81.3,72.0,17.4,15.6,12.7,12.2,20854,30254,VH
31,Brunei Darussalam,0.977,1,0.840,0.860,80.7,77.0,14.9,14.2,8.5,9.0,54228,90437,VH
32,Cyprus,0.971,2,0.836,0.861,82.4,78.0,14.2,13.8,11.4,11.8,22613,34400,VH
32,Qatar,0.998,1,0.853,0.854,79.9,77.3,14.0,13.9,10.4,8.8,55123,143979,VH
34,Andorra,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,VH
35,Slovakia,0.999,1,0.841,0.842,79.9,72.5,15.7,14.5,12.3,12.2,19903,32122,VH
36,Poland,1.007,1,0.844,0.839,81.4,73.4,16.3,14.7,11.7,11.9,18423,28271,VH
37,Lithuania,1.030,2,0.851,0.827,78.9,67.7,16.9,15.9,12.3,12.5,20955,28656,VH
37,Malta,0.937,3,0.806,0.861,82.2,78.8,14.8,14.0,9.9,10.8,16435,39432,VH
