1,Canada,1,0.932,81.9,76.2,99,99,101,98,17980,29294
2,Norway,2,0.932,81.3,75.4,99,99,98,93,22400,30356
3,United States,4,0.927,80.2,73.5,99,99,97,91,22565,36849
4,Australia,3,0.927,81.2,75.6,99,99,114,111,17974,26990
5,Iceland,5,0.925,81.4,76.9,99,99,89,86,22062,28127
6,Sweden,6,0.923,81,76.4,99,99,108,95,18605,22751
7,Belgium,7,0.921,80.7,74,99,99,107,104,15951,30801
8,Netherlands,8,0.919,80.8,75.1,99,99,96,99,14902,29600
9,Japan,9,0.916,83,76.9,99,99,83,86,14091,32794
10,United Kingdom,10,0.914,80,74.7,99,99,109,99,15290,25575
11,Finland,12,0.913,80.8,73.2,99,99,104,95,17063,24827
12,France,11,0.914,82.1,74.4,99,99,94,91,16437,26156
13,Switzerland,13,0.91,81.9,75.5,99,99,76,83,16802,34425
14,Germany,15,0.905,80.3,74.1,99,99,88,90,15189,29476
15,Denmark,14,0.909,78.4,73.1,99,99,95,90,19965,28569
16,Austria,16,0.901,80.3,73.8,99,99,85,86,14432,32190
17,Luxembourg,20,0.895,80.1,73.5,99,99,70,68,18967,48628
18,Ireland,18,0.896,79.4,73.8,99,99,92,87,11847,31260
19,Italy,19,0.895,81.3,75.2,97.9,98.8,83,80,12665,28982
20,New Zealand,17,0.9,79.9,74.3,99,99,99,92,13646,21040
21,Spain,21,0.891,81.6,74.7,96.5,98.4,96,90,9636,23078
22,Cyprus,23,0.877,80.1,75.6,94.7,98.6,81,79,9981,25009
23,Israel,22,0.877,79.9,75.8,93.7,97.7,81,79,11660,23034
24,Singapore,24,0.876,79.5,75.1,87.6,96,71,74,15966,32334
25,Greece,25,0.869,80.8,75.7,95.5,98.4,80,80,8963,19079
26,"Hong Kong, China (SAR)",26,0.864,81.5,76,89.1,96.3,67,64,10768,29775
27,Malta,29,0.848,79.5,75.1,92,90.9,77,78,7066,26006
28,Portugal,27,0.858,78.9,72,89,94.2,94,88,10215,19538
29,Slovenia,28,0.857,78.3,70.7,99.6,99.7,82,77,10941,17841
30,Barbados,-1,-1,78.8,73.8,-1,-1,81,80,-1,-1
